Fecha y hora de respuesta;2. País o ciudad de nacimiento:;3. Género:;4. Fecha de nacimiento (en formato DD/MM/AAAA):;5. ¿Cuál es el máximo nivel educativo que cursás o cursaste?;6. ¿Qué carrera de grado cursás o cursaste?;7. ¿Qué carrera de posgrado cursás o cursaste?;8. ¿Trabajaste la semana pasada al menos una hora?;9. En ese trabajo...;10. ¿A qué se dedica o qué produce la empresa/establecimiento en el que trabajás?;11. ¿Desde qué fecha (DD/MM/AAAA) trabajás en este puesto?;12. ¿Cómo se llama tu ocupación?;"13. ¿Alguna vez (en este trabajo o en otra actividad) trabajaste con&nbsp;datos&nbsp;(recolectando, limpiando, analizando, etc.)?";14. ¿Cuántos años trabajaste con datos?(Si es menos de 1 registrá 0.);15. ¿Cuáles de las siguientes herramientas utilizaste? (indicar todas las utilizadas)- Excel- SPSS- SAS- R- Python- Otras (indicar cúales);16. ¿Alguna vez (en este trabajo o en otra actividad) trabajaste haciendo tareas de programación?;17. ¿Durante cuántos años? (Si no aplica ingresar 0);"18. ¿Con qué lenguajes? (Indicar todos los que apliquen)-&nbsp;Python- Ruby- PHP- Java- JavaScript- SQL- C++- Otros (indicar cuáles)";19. ¿Qué creés que va a pasar en el curso de Data Science?;20. ¿Qué te gustaría que pase?
10-08-2022 00:08:47;Argentina;Masculino;18/03/1998;Terciario en curso;Tecnicatura en Analsis de Sistemas;Ninguna;Si;Trabajo como desarrollador en Servicenow;Tecnologia;06/06/2022;Junior Servicenow Developer;No;0;Otras(Javascript);Si;1;JavaScript;Crecer, aprender y desarrollarme como profesional;Aprender nuevas herramientas para hacer un cambio a futuro
10-08-2022 00:09:10;Cordoba - Argentina;Masculino;02/09/1975;M.B.A;Administracion de Empresas;Master en Gestion Empresaria;si;si;consultoria;01/01/2011;Consultor Business Intelligence;si;10;qlikview;si;10;qlikview;expandir capacidades para explorar datos;aprender y comprender todo
09-08-2022 22:59:04;CABA;Masculino;21/03/2000;Facultad;Historia;Ninguna;Si;.;Laboratorio bioquímico;08/08/2020;.;No;0;Excel, Python;No;0;.;Adquirir conceptos básicos de ciencias de datos;aprender más sobre este área y tener una base para seguir estudiando
10-08-2022 00:23:31;;;;;;;;;;;;;;;;;;;
10-08-2022 00:23:31;;;;;;;;;;;;;;;;;;;
10-08-2022 00:23:31;;;;;;;;;;;;;;;;;;;
10-08-2022 00:13:48;Cordoba;Masculino;04/09/1997;Universitario;Ingenieria Industrial;Ninguno;Si;-;Consultoria;08/08/2022;Business Consultant;Si;0;Excel;No;0;DAX;Voy a aprender machine learning y python;Aprender a crear modelos utiles para mi trabajo
;;;;;;;;;;;;;;;;;;;
10-08-2022 00:10:18;Argentina;Masculino;26/07/1985;Universitario;Licenciatura en Ciencias Matemáticas;Ninguna;Sí;-;Software;01/01/2021;Senior Data Analyst;Sí;10;Mayoritariamente Excel, SQL, Python;Sí;2;Sql, Python, Scala;-;Aprender
10-08-2022 00:10:05;Argentina;Masculino;21/08/1999;Posgrado;Licenciatura en Economia Empresarial;Management + Analytics;Si;Me desempeño como analista;Consultoria;13/12/2021;Analista de negocio;No;0;Excel, R, Python;No;0;Ninguno;Veremos muchos contenidos;Espero seguir perfeccionando mis conocimientos
10-08-2022 00:09:12;Pasto, Colombia;Femenino;30/05/1988;Maestria;Ingenieria Biologica;Ciencias Agricolas;Si;N/A;Soy independiente. Rentista.;15/02/2021;Rentista;Si;5+;Excel, SAS, R;No;0;N/A;Aprendere herramientas y procesos para desarrollar DataSc;Volverme una crack en DataSc
